Departure Time,Arrival Time,Departure Airport,Departure_Cod,Arrival Airport,Arrival_Cod,Stop Airports,Duration,Airlines,Price,Info Date Save,Flight Date
10:30,12:10,Bilbao,BIO,Charles de Gaulle,CDG,directo,1h 40m,Air France,281 €,2024-06-03 20:07:53,2024-08-26
7:10,8:55,Bilbao,BIO,Charles de Gaulle,CDG,directo,1h 45m,Air France,305 €,2024-06-03 20:07:53,2024-08-26
11:00,12:45,Bilbao,BIO,Charles de Gaulle,CDG,directo,1h 45m,Iberia,308 €,2024-06-03 20:07:53,2024-08-26
9:40,14:25,Bilbao,BIO,Charles de Gaulle,CDG,MXP,4h 45m,easyJet,199 €,2024-06-03 20:07:53,2024-08-26
14:10,18:35,Bilbao,BIO,Charles de Gaulle,CDG,FRA,4h 25m,Lufthansa,238 €,2024-06-03 20:07:53,2024-08-26
8:55,14:10,Bilbao,BIO,Charles de Gaulle,CDG,BCN,5h 15m,Vueling,227 €,2024-06-03 20:07:53,2024-08-26
17:15,21:50,Bilbao,BIO,Charles de Gaulle,CDG,AMS,4h 35m,KLM,246 €,2024-06-03 20:07:53,2024-08-26
13:40,18:00,Bilbao,BIO,Charles de Gaulle,CDG,MAD,4h 20m,Iberia,296 €,2024-06-03 20:07:53,2024-08-26
13:55,19:20,Bilbao,BIO,Charles de Gaulle,CDG,LGW,5h 25m,"Vueling, easyJet",237 €,2024-06-03 20:07:53,2024-08-26
8:55,16:05,Bilbao,BIO,Charles de Gaulle,CDG,BCN,7h 10m,Vueling,176 €,2024-06-03 20:07:53,2024-08-26
8:55,14:55,Bilbao,BIO,Charles de Gaulle,CDG,BCN,6h 00m,"Vueling, easyJet",210 €,2024-06-03 20:07:53,2024-08-26
12:00,17:05,Bilbao,BIO,Charles de Gaulle,CDG,AMS,5h 05m,KLM,261 €,2024-06-03 20:07:53,2024-08-26
7:40,14:10,Bilbao,BIO,Charles de Gaulle,CDG,BCN,6h 30m,Vueling,223 €,2024-06-03 20:07:53,2024-08-26
13:55,20:15,Bilbao,BIO,Charles de Gaulle,CDG,LGW,6h 20m,"Vueling, easyJet",216 €,2024-06-03 20:07:53,2024-08-26
17:15,21:50,Bilbao,BIO,Charles de Gaulle,CDG,AMS,4h 35m,"KLM, Air France",310 €,2024-06-03 20:07:53,2024-08-26
17:35,23:45,Bilbao,BIO,Charles de Gaulle,CDG,MAD,6h 10m,Iberia,237 €,2024-06-03 20:07:53,2024-08-26
12:00,18:10,Bilbao,BIO,Charles de Gaulle,CDG,AMS,6h 10m,KLM,237 €,2024-06-03 20:07:53,2024-08-26
17:35,22:20,Bilbao,BIO,Charles de Gaulle,CDG,MAD,4h 45m,"Iberia, Air France",287 €,2024-06-03 20:07:53,2024-08-26
12:45,18:00,Bilbao,BIO,Charles de Gaulle,CDG,MAD,5h 15m,"Air Europa, Iberia",270 €,2024-06-03 20:07:53,2024-08-26
17:35,22:20,Bilbao,BIO,Charles de Gaulle,CDG,MAD,4h 45m,"Vueling, Air France",290 €,2024-06-03 20:07:53,2024-08-26
14:30,20:05,Bilbao,BIO,Charles de Gaulle,CDG,SVQ,5h 35m,Vueling,284 €,2024-06-03 20:07:53,2024-08-26
12:00,19:05,Bilbao,BIO,Charles de Gaulle,CDG,AMS,7h 05m,KLM,216 €,2024-06-03 20:07:53,2024-08-26
7:00,13:40,Bilbao,BIO,Charles de Gaulle,CDG,LGW,6h 40m,"Vueling, easyJet",229 €,2024-06-03 20:07:53,2024-08-26
7:40,14:55,Bilbao,BIO,Charles de Gaulle,CDG,BCN,7h 15m,"Vueling, easyJet",205 €,2024-06-03 20:07:53,2024-08-26
14:55,20:40,Bilbao,BIO,Charles de Gaulle,CDG,DUS,5h 45m,"Eurowings, Air France",250 €,2024-06-03 20:07:53,2024-08-26
12:00,17:05,Bilbao,BIO,Charles de Gaulle,CDG,AMS,5h 05m,"KLM, Air France",310 €,2024-06-03 20:07:53,2024-08-26
16:50,22:20,Bilbao,BIO,Charles de Gaulle,CDG,MAD,5h 30m,"Air Europa, Air France",275 €,2024-06-03 20:07:53,2024-08-26
6:45,13:40,Bilbao,BIO,Charles de Gaulle,CDG,FRA,6h 55m,Lufthansa,228 €,2024-06-03 20:07:53,2024-08-26
13:55,20:00,Bilbao,BIO,Charles de Gaulle,CDG,"BCN, MRS",6h 05m,"Vueling, Air France",235 €,2024-06-03 20:07:53,2024-08-26
7:35,13:40,Bilbao,BIO,Charles de Gaulle,CDG,MUC,6h 05m,Lufthansa,270 €,2024-06-03 20:07:53,2024-08-26
17:35,23:45,Bilbao,BIO,Charles de Gaulle,CDG,MAD,6h 10m,"Vueling, Iberia",241 €,2024-06-03 20:07:53,2024-08-26
13:40,18:00,Bilbao,BIO,Charles de Gaulle,CDG,MAD,4h 20m,Vueling,377 €,2024-06-03 20:07:53,2024-08-26
12:00,18:10,Bilbao,BIO,Charles de Gaulle,CDG,AMS,6h 10m,"KLM, Air France",269 €,2024-06-03 20:07:53,2024-08-26
