Departure Time,Arrival Time,Departure Airport,Departure_Cod,Arrival Airport,Arrival_Cod,Stop Airports,Duration,Airlines,Price,Info Date Save,Flight Date
19:00,20:30,Bilbao,BIO,Málaga-Costa del Sol,AGP,directo,1h 30m,Vueling,69 €,2024-06-04 23:12:53,2024-07-25
8:30,10:05,Bilbao,BIO,Málaga-Costa del Sol,AGP,directo,1h 35m,Vueling,83 €,2024-06-04 23:12:53,2024-07-25
16:30,18:00,Bilbao,BIO,Málaga-Costa del Sol,AGP,directo,1h 30m,Vueling,90 €,2024-06-04 23:12:53,2024-07-25
8:30,11:50,Bilbao,BIO,Málaga-Costa del Sol,AGP,MAD,3h 20m,Air Europa,89 €,2024-06-04 23:12:53,2024-07-25
13:25,17:15,Bilbao,BIO,Málaga-Costa del Sol,AGP,BCN,3h 50m,Vueling,102 €,2024-06-04 23:12:53,2024-07-25
19:55,23:50,Bilbao,BIO,Málaga-Costa del Sol,AGP,BCN,3h 55m,Vueling,127 €,2024-06-04 23:12:53,2024-07-25
12:45,16:15,Bilbao,BIO,Málaga-Costa del Sol,AGP,MAD,3h 30m,Air Europa,164 €,2024-06-04 23:12:53,2024-07-25
19:00,20:30,Bilbao,BIO,Málaga-Costa del Sol,AGP,directo,1h 30m,Iberia,232 €,2024-06-04 23:12:53,2024-07-25
16:30,18:00,Bilbao,BIO,Málaga-Costa del Sol,AGP,directo,1h 30m,Iberia,252 €,2024-06-04 23:12:53,2024-07-25
8:30,10:05,Bilbao,BIO,Málaga-Costa del Sol,AGP,directo,1h 35m,Iberia,252 €,2024-06-04 23:12:53,2024-07-25
8:55,14:15,Bilbao,BIO,Málaga-Costa del Sol,AGP,BCN,5h 20m,Vueling,135 €,2024-06-04 23:12:53,2024-07-25
19:35,0:20,Bilbao,BIO,Málaga-Costa del Sol,AGP,IBZ,4h 45m,"Vueling, Iberia",119 €,2024-06-04 23:12:53,2024-07-25
6:45,11:50,Bilbao,BIO,Málaga-Costa del Sol,AGP,MAD,5h 05m,"Iberia, Air Europa",119 €,2024-06-04 23:12:53,2024-07-25
15:05,21:20,Bilbao,BIO,Málaga-Costa del Sol,AGP,IBZ,6h 15m,"Volotea, Vueling",120 €,2024-06-04 23:12:53,2024-07-25
13:40,17:05,Bilbao,BIO,Málaga-Costa del Sol,AGP,MAD,3h 25m,Iberia,226 €,2024-06-04 23:12:53,2024-07-25
12:45,17:05,Bilbao,BIO,Málaga-Costa del Sol,AGP,MAD,4h 20m,"Air Europa, Iberia Express",204 €,2024-06-04 23:12:53,2024-07-25
8:55,15:25,Bilbao,BIO,Málaga-Costa del Sol,AGP,BCN,6h 30m,Vueling,145 €,2024-06-04 23:12:53,2024-07-25
7:10,14:15,Bilbao,BIO,Málaga-Costa del Sol,AGP,BCN,7h 05m,Vueling,129 €,2024-06-04 23:12:53,2024-07-25
15:35,21:20,Bilbao,BIO,Málaga-Costa del Sol,AGP,"ALC, IBZ",5h 45m,Vueling,173 €,2024-06-04 23:12:53,2024-07-25
14:15,21:20,Bilbao,BIO,Málaga-Costa del Sol,AGP,"BCN, IBZ",7h 05m,Vueling,163 €,2024-06-04 23:12:53,2024-07-25
10:45,16:55,Bilbao,BIO,Málaga-Costa del Sol,AGP,PMI,6h 10m,"Volotea, Vueling",199 €,2024-06-04 23:12:53,2024-07-25
6:50,12:35,Bilbao,BIO,Málaga-Costa del Sol,AGP,AMS,5h 45m,KLM,262 €,2024-06-04 23:12:53,2024-07-25
7:10,14:15,Bilbao,BIO,Málaga-Costa del Sol,AGP,BCN,7h 05m,Iberia,264 €,2024-06-04 23:12:53,2024-07-25
19:35,0:20,Bilbao,BIO,Málaga-Costa del Sol,AGP,IBZ,4h 45m,Iberia,369 €,2024-06-04 23:12:53,2024-07-25
17:35,0:20,Bilbao,BIO,Málaga-Costa del Sol,AGP,"MAD, IBZ",6h 45m,Iberia,315 €,2024-06-04 23:12:53,2024-07-25
8:55,14:15,Bilbao,BIO,Málaga-Costa del Sol,AGP,BCN,5h 20m,Iberia,407 €,2024-06-04 23:12:53,2024-07-25
11:35,17:50,Bilbao,BIO,Málaga-Costa del Sol,AGP,MUC,6h 15m,Lufthansa,429 €,2024-06-04 23:12:53,2024-07-25
8:55,15:25,Bilbao,BIO,Málaga-Costa del Sol,AGP,BCN,6h 30m,Iberia,421 €,2024-06-04 23:12:53,2024-07-25
10:30,17:30,Bilbao,BIO,Málaga-Costa del Sol,AGP,CDG,7h 00m,Air France,436 €,2024-06-04 23:12:53,2024-07-25
17:35,22:45,Bilbao,BIO,Málaga-Costa del Sol,AGP,"MAD, MLN",5h 10m,Iberia,582 €,2024-06-04 23:12:53,2024-07-25
17:35,22:45,Bilbao,BIO,Málaga-Costa del Sol,AGP,"MAD, MLN",5h 10m,Vueling,650 €,2024-06-04 23:12:53,2024-07-25
8:30,10:05,Bilbao,BIO,Málaga-Costa del Sol,AGP,directo,1h 35m,Vueling,86 €,2024-06-04 23:12:53,2024-07-26
22:55,0:25,,+1,,-,directo,1h 30m,Iberia,173 €,2024-06-04 23:12:53,2024-07-26
8:30,11:50,Bilbao,BIO,Málaga-Costa del Sol,AGP,MAD,3h 20m,Air Europa,89 €,2024-06-04 23:12:53,2024-07-26
8:30,10:05,Bilbao,BIO,Málaga-Costa del Sol,AGP,directo,1h 35m,Iberia,252 €,2024-06-04 23:12:53,2024-07-26
12:45,16:15,Bilbao,BIO,Málaga-Costa del Sol,AGP,MAD,3h 30m,Air Europa,114 €,2024-06-04 23:12:53,2024-07-26
